iter	Passed	Remaining
471	686	767
472	687	765
473	688	764
474	689	762
475	691	761
476	692	759
477	694	758
478	695	756
479	696	754
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	743
486	703	741
487	704	739
488	705	737
489	706	735
490	707	733
491	708	731
492	709	729
493	710	727
494	711	725
495	712	723
496	713	721
497	714	719
498	715	718
499	716	716
500	717	714
501	718	712
502	719	710
503	720	708
504	721	706
505	722	705
506	723	703
507	723	701
508	724	699
509	725	697
510	726	695
511	728	694
512	729	692
513	730	690
514	732	689
515	733	687
516	734	685
517	735	683
518	736	682
519	737	680
520	738	678
521	739	676
522	739	674
523	740	672
524	741	670
525	742	669
526	743	667
527	744	665
528	745	663
529	746	662
530	748	660
531	749	659
532	750	657
533	751	655
534	752	654
535	753	652
536	754	650
537	756	649
538	757	647
539	758	646
540	759	644
541	760	642
542	761	640
543	762	639
544	763	637
545	764	635
546	765	634
547	766	632
548	767	630
549	768	629
550	769	627
551	770	625
552	771	623
553	772	622
554	774	621
555	776	619
556	776	617
557	777	615
558	778	614
559	779	612
560	780	611
561	781	609
562	782	607
563	783	605
564	784	603
565	785	602
566	787	601
567	788	599
568	789	597
569	790	596
570	791	594
571	792	593
572	793	591
573	794	589
574	795	587
575	796	586
576	797	584
577	798	583
578	799	581
579	800	579
580	802	578
581	804	578
582	806	576
583	807	574
584	808	573
585	809	571
586	811	570
587	812	569
588	813	567
589	814	565
590	816	565
591	820	565
592	821	564
593	823	562
594	824	561
595	825	559
596	826	558
597	827	556
598	828	554
599	830	553
600	831	551
601	833	550
602	834	549
603	836	548
604	837	546
605	838	545
606	839	543
607	840	542
608	841	540
609	842	538
610	844	537
611	845	536
612	847	535
613	849	533
614	850	532
615	851	530
616	852	529
617	853	527
618	855	526
619	856	524
620	857	523
621	859	522
622	860	520
623	862	519
624	864	518
625	865	517
626	866	515
627	867	513
628	868	512
629	870	510
630	871	509
631	872	507
632	873	506
633	874	505
634	876	503
635	877	502
636	878	500
637	879	499
638	880	497
639	881	496
640	883	494
641	884	493
642	885	491
643	886	489
644	887	488
645	888	486
646	889	485
647	890	483
648	891	482
649	892	480
650	893	479
651	894	477
652	895	476
653	897	474
654	898	473
655	899	471
656	900	470
657	901	468
658	903	467
659	904	465
660	905	464
661	906	462
662	907	461
663	908	459
664	909	458
665	910	456
666	911	455
667	912	453
668	913	452
669	914	450
670	915	449
671	916	447
672	917	445
673	919	444
674	920	442
675	921	441
676	922	439
677	922	438
678	923	436
679	924	435
680	925	433
681	926	432
682	927	430
683	929	429
684	930	427
685	931	426
686	932	425
687	933	423
688	934	421
689	935	420
690	936	418
691	937	417
692	938	415
693	940	414
694	941	413
695	942	411
696	943	410
697	944	408
698	945	407
699	946	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	398
705	952	396
706	953	394
707	954	393
708	955	391
709	955	390
710	956	388
711	957	387
712	958	385
713	959	384
714	960	383
715	962	381
716	963	380
717	964	378
718	964	377
719	965	375
720	967	374
721	967	372
722	968	371
723	969	369
724	970	368
725	971	366
726	972	365
727	974	364
728	975	362
729	976	361
730	977	359
731	979	358
732	979	356
733	980	355
734	981	353
735	982	352
736	983	351
737	984	349
738	985	348
739	986	346
740	988	345
741	989	344
742	991	342
743	992	341
744	993	340
745	994	338
746	996	337
747	997	336
748	998	334
749	999	333
750	1000	331
751	1001	330
752	1003	329
753	1004	327
754	1006	326
755	1007	325
756	1008	323
757	1009	322
758	1010	320
759	1011	319
760	1013	318
761	1014	316
762	1015	315
763	1016	314
764	1018	312
765	1019	311
766	1020	310
767	1022	308
768	1022	307
769	1024	305
770	1025	304
771	1026	303
772	1027	301
773	1028	300
774	1029	298
775	1030	297
776	1031	296
777	1034	295
778	1035	293
779	1036	292
780	1038	291
781	1039	289
782	1039	288
783	1040	286
784	1041	285
785	1042	283
786	1044	282
787	1045	281
788	1046	279
789	1047	278
790	1049	277
791	1050	275
792	1051	274
793	1052	272
794	1052	271
795	1053	270
796	1054	268
797	1056	267
798	1057	265
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1067	252
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1076	239
818	1077	238
819	1078	236
820	1079	235
821	1081	234
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	227
827	1086	225
828	1087	224
829	1088	223
830	1089	221
831	1091	220
832	1092	219
833	1093	217
834	1094	216
835	1095	214
836	1096	213
837	1097	212
838	1098	210
839	1099	209
840	1100	208
841	1101	206
842	1102	205
843	1104	204
844	1105	202
845	1106	201
846	1107	200
847	1108	198
848	1109	197
849	1110	196
850	1111	194
851	1112	193
852	1113	191
853	1114	190
854	1115	189
855	1116	187
856	1118	186
857	1119	185
858	1120	183
859	1121	182
860	1123	181
861	1124	179
862	1125	178
863	1126	177
864	1127	175
865	1128	174
866	1129	173
867	1130	171
868	1131	170
869	1132	169
870	1134	167
871	1135	166
872	1136	165
873	1137	163
874	1137	162
875	1138	161
876	1139	159
877	1140	158
878	1141	157
879	1142	155
880	1143	154
881	1144	153
882	1145	151
883	1146	150
884	1147	149
885	1148	147
886	1150	146
887	1151	145
888	1152	143
889	1153	142
890	1154	141
891	1155	139
892	1156	138
893	1157	137
894	1158	135
895	1159	134
896	1161	133
897	1162	132
898	1163	130
899	1164	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1172	118
908	1174	117
909	1175	116
910	1177	115
911	1178	113
912	1179	112
913	1181	111
914	1182	109
915	1183	108
916	1184	107
917	1185	105
918	1186	104
919	1187	103
920	1189	102
921	1190	100
922	1191	99
923	1192	98
924	1194	96
925	1195	95
926	1196	94
927	1197	92
928	1198	91
929	1199	90
930	1200	88
931	1201	87
932	1202	86
933	1203	85
934	1204	83
935	1206	82
936	1207	81
937	1208	79
938	1209	78
939	1210	77
940	1211	75
941	1212	74
942	1213	73
943	1214	72
944	1215	70
945	1216	69
946	1217	68
947	1219	66
948	1220	65
949	1221	64
950	1222	62
951	1223	61
952	1224	60
953	1226	59
954	1226	57
955	1227	56
956	1228	55
957	1229	53
958	1230	52
959	1231	51
960	1232	50
961	1233	48
962	1234	47
963	1236	46
964	1237	44
965	1238	43
966	1239	42
967	1240	40
968	1241	39
969	1242	38
970	1243	37
971	1244	35
972	1245	34
973	1246	33
974	1248	32
975	1249	30
976	1250	29
977	1251	28
978	1252	26
979	1253	25
980	1254	24
981	1255	23
982	1256	21
983	1257	20
984	1257	19
985	1258	17
986	1259	16
987	1261	15
988	1262	14
989	1263	12
990	1264	11
991	1265	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
996	1270	3
997	1271	2
998	1272	1
999	1273	0
